codigo,registro_fuente,provincia,canton,zona_publica,anio_ensayo,elevacion_msnm,profundidad_sondeo_m,n60,capacidad_portante_kg_cm2,limite_liquido_pct,limite_plastico_pct,indice_plasticidad_pct,humedad_pct,profundidad_cimentacion_m,aashto,tipo_suelo,sucs,nivel_freatico,tipo_cimentacion,resistencia_n60,aptitud_referencial,privacidad,lon_wgs84,lat_wgs84
SPT-189,189,Loja,Loja,Zona técnica 04,2025,2155,6,12,0.76,44.6,24,20.5,21.24,2,A-7-6(20),Arcilla con bajo contenido de arena cl de alta plasticidad color cafe amarillento,CL,No,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.1969331,-4.0068707
SPT-190,190,Loja,Loja,Zona técnica 03,2025,2155,6.45,18,1.21,42.5,22.5,20,19.03,2,A-7-6(20),Arcilla con bajo contenido de arena cl de alta plasticidad color cafe amarillento,CL,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.1969317,-4.0075037
SPT-191,191,Loja,Loja,Zona técnica 03,2025,2156,4.45,16,1.03,52,29.6,22.4,24.92,2,A-7-6(21),Limo con arena de alta plasticidad color cafe amarillento,MH,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.1969316,-4.0075489
SPT-192,192,Loja,Espindola,Zona técnica 01,2025,1318,5.5,41,4.88,46.2,32.2,14.1,24.16,1.5,A-7-5(7),Limo arenoso ml de mediana plasticidad color cafe amarillento a naranja,ML,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.4581533,-4.4444359
SPT-193,193,Loja,Loja,Zona técnica 02,2025,2130,6,17,1.04,30.4,22.3,8.1,15.15,2,A-4(3),Arcilla arenosa cl de mediana plasticidad color cafe,CL,No,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2054995,-4.0259149
SPT-194,194,Loja,Loja,Zona técnica 02,2025,2130,6,17,0.92,33.4,15.2,18.2,17.87,2,A-6(3),Arcilla arenoso con bajo contenido de gravas cl de mediana plasticidad color cafe,CL,No,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2054813,-4.0259962
SPT-195,195,Loja,Loja,Zona técnica 03,2025,2093,6,10,0.76,,,,17.26,2,A-4,Arena limosa sm no plastica color cafe amarillento,SM,Sí,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2019095,-4.0081838
SPT-196,196,Loja,Loja,Zona técnica 03,2025,2092,6,10,0.73,,,,15.26,2,A-4,Arena limosa con bajo contenido de grava sm no plastica color cafe amarillento,SM,Sí,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2020626,-4.0081932
SPT-197,197,Loja,Loja,Zona técnica 05,2025,2026,6.45,20,0.98,34,20.9,13,23.74,2,A-6(2),Grava arcillosa con arena gc de mediana plasticidad color cafe oscuro,GC,Sí,Zapata aislada cuadrada,Media,Revisión prioritaria,pública_anonimizada,-79.2080329,-3.9663668
SPT-198,198,Loja,Loja,Zona técnica 05,2025,2026,6.45,52,0.98,37.7,20.1,17.6,5.15,2,A-6(13),Arcilla con arena cl de mediana plasticidad color cafe oscuro,CL,Sí,Zapata aislada cuadrada,Muy alta,Revisión prioritaria,pública_anonimizada,-79.2080508,-3.9664392
SPT-199,199,Loja,Loja,Zona técnica 05,2025,2026,6.45,22,0.97,29.8,16.9,12.9,4.98,2,A-6(7),Arcilla con arena y con bajo contenido de gravas cl de mediana plasticidad color cafe oscuro,CL,Sí,Zapata aislada cuadrada,Media,Revisión prioritaria,pública_anonimizada,-79.2080779,-3.9663941
SPT-200,200,Loja,Loja,Zona técnica 02,2025,2306,6,14,1.74,38.4,26.3,12,21.47,1.5,A-6(11),Limo con bajo contenido de arena ml de mediana plasticidad color cafe amarillento,ML,Sí,Zapata Continua o corrida,Baja,Condicionada,pública_anonimizada,-79.2158813,-4.0425488
SPT-201,201,Loja,Loja,Zona técnica 04,2025,2058,6,23,1.62,39.4,23.8,15.6,7.28,2,A-6(17),Arcilla cl de mediana plasticidad color cafe,CL,No,Zapata Continua o corrida,Media,Media,pública_anonimizada,-79.2062149,-3.9868531
SPT-202,202,Loja,Loja,Zona técnica 02,2025,1559,2.5,66,3.34,,,,3.63,1.2,A-2-4,Grava limosa con arena gm no plastica color cafe claro,GM,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2435547,-4.2217525
SPT-203,203,Loja,Loja,Zona técnica 01,2025,1557,5.5,65,3.32,44.8,16.3,28.4,6.17,1.2,A-7-6(20),Arcilla con arena cl de alta plasticidad color cafe claro,CL,No,Zapata aislada cuadrada,Muy alta,Alta,pública_anonimizada,-79.2437524,-4.2219519
SPT-204,204,Loja,Loja,Zona técnica 04,2025,2138,6,11,0.85,69.3,33.2,36.1,32.01,4,A-7-5(40),Arcilla con bajo contenido de arena ch de alta plasticidad color gris blaquesino,CH,No,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2217946,-3.9771934
SPT-205,205,Loja,Loja,Zona técnica 04,2025,2137,6,48,0.92,82.5,32.5,50,34.03,4,A-7-5(53),Arcilla con bajo contenido de arena ch de alta plasticidad color gris blaquesino,CH,No,Zapata Continua o corrida,Muy alta,Revisión prioritaria,pública_anonimizada,-79.2216956,-3.977157
SPT-206,206,Loja,Loja,Zona técnica 05,2025,2080,6,11,0.85,67.9,25,43,31.14,1.8,A-7-6(46),Arcilla ch de alta plasticidad color cafe oscuro (suelo organico),CH,No,Zapata Continua o corrida,Baja,Revisión prioritaria,pública_anonimizada,-79.2090806,-3.9573624
SPT-207,207,El Oro,Portovelo,Zona técnica 05,2025,742,5,16,1.31,,,,12.08,2,A-4,Arena limosa sm no plastica color cafe naranja,SM,No,Zapata aislada cuadrada,Baja,Condicionada,pública_anonimizada,-79.6124775,-3.7338591
SPT-208,208,El Oro,Portovelo,Zona técnica 05,2025,707,5,27,1.87,,,,18.68,2,A-1-b,Arena limosa sm no plastica color cafe naranja,SM,No,Zapata aislada cuadrada,Media,Media,pública_anonimizada,-79.6116665,-3.7400441
